name,category,current_price,original_price,unit,timestamp
ParksideAku priamočiara píla,Ostatné,1,,1 balenie,2026-05-17T22:27:50.533746
Akumulátor PAP,Ostatné,3,20,,2026-05-17T22:27:50.628359
ParksideAkumulátor PAP,Ostatné,11,20,11 kus,2026-05-17T22:27:50.660120
Akumulátor PAP,Ostatné,1,20,,2026-05-17T22:27:50.684305
ParksideAku strunová kosačka,Ostatné,1,,1 kus,2026-05-17T22:27:50.726890
ParksideUniverzálny podstavec,Ostatné,1,1550,1 kus,2026-05-17T22:27:50.779585
ParksideŠpirála na čistenie potrubí,Ostatné,1,,1 kus,2026-05-17T22:27:50.896795
ParksideVidlicovo-prstencové kľúče,Ostatné,25,,,2026-05-17T22:27:50.951619
Uhlová brúska PWS,Ostatné,5,230,,2026-05-17T22:27:51.029110
ParksideLaserová vodováha PLLM,Ostatné,11,10,11 kus,2026-05-17T22:27:51.150629
Laserová vodováha PLLM,Ostatné,1,10,,2026-05-17T22:27:51.160614
ParksideRúrkový zverák,Ostatné,1,,1 kus,2026-05-17T22:27:51.211464
Kontrolná kamera,Ostatné,4,2.8,,2026-05-17T22:27:51.344087
ParksideRezačka na plastové rúrky,Ostatné,1,,1 kus,2026-05-17T22:27:51.518883
ParksideRezačka na rúrky,Ostatné,1,,1 kus,2026-05-17T22:27:51.578464
ParksideOhýbacie kliešte na rúry,Ostatné,1,,1 kus,2026-05-17T22:27:51.635813
ParksideSúprava obrubovačiek,Ostatné,1,,1 balenie,2026-05-17T22:27:51.695310
ParksideOpaskové kliešte,Ostatné,1,,1 kus,2026-05-17T22:27:51.763187
ParksideKombinačky,Ostatné,1,,1 kus,2026-05-17T22:27:51.821192
ParksideKliešte,Ostatné,1,,1 kus,2026-05-17T22:27:51.880174
ParksideKliešte s bočným strihom,Ostatné,1,,1 kus,2026-05-17T22:27:51.942907
ParksideBetonárske kliešte,Ostatné,1,,1 kus,2026-05-17T22:27:51.995252
ParksideNastaviteľný vidlicový kľúč,Ostatné,1,,1 kus,2026-05-17T22:27:52.050214
ParksideVodoinštalatérske kliešte,Ostatné,1,,1 kus,2026-05-17T22:27:52.103834
ParksideSortiment hadicových spôn,Ostatné,19,,,2026-05-17T22:27:52.254003
ParksideSortiment hadicových spôn,Ostatné,26,,,2026-05-17T22:27:52.418092
ParksideDiamantové vrtáky,Ostatné,5,,,2026-05-17T22:27:52.468668
ParksidePracovné LED svetlo,Ostatné,1,,1 kus,2026-05-17T22:27:52.694338
ParksideSúprava vrtákov,Ostatné,15,,,2026-05-17T22:27:52.843409
ParksideSúprava HSS vrtákov,Ostatné,15,,,2026-05-17T22:27:52.951017
ParksideHasák,Ostatné,1,,1 kus,2026-05-17T22:27:52.999688
ParksideInštalatérske kliešte,Ostatné,3,,3 kus,2026-05-17T22:27:53.053369
"Hrniec s pokrievkou, Ø",Ostatné,28,,,2026-05-17T22:27:53.641734
"Hrniec s pokrievkou, Ø",Ostatné,20,,,2026-05-17T22:27:53.700789
"Hrniec s pokrievkou, Ø",Ostatné,24,,,2026-05-17T22:27:53.746807
Livington Sumo SlicerKompaktný strúhač,Ostatné,1,,1 balenie,2026-05-17T22:27:54.167862
"Parák, priemer:",Ostatné,1,23,1 kus,2026-05-17T22:27:54.218268
"Parák, priemer:",Ostatné,23,,,2026-05-17T22:27:54.224764
Ostrič nožov,Ostatné,1,,1 kus,2026-05-17T22:27:54.270298
"Parák, priemer:",Ostatné,"27,5",,,2026-05-17T22:27:54.366103
Rozprašovač na olej a ocot,Trvanlivé / Snacks,1,,1 kus,2026-05-17T22:27:54.464959
Casa SiSušiak na bielizeň,Ostatné,1,,1 kus,2026-05-17T22:27:54.885522
K-ClassicSúprava sieťok na pranie,Ostatné,3,,3 kus,2026-05-17T22:27:55.045745
K-ClassicSúprava sieťok na pranie,Ostatné,2,,2 kus,2026-05-17T22:27:55.149702
Liv &BoSúprava vákuových vakov,Ostatné,"0,70",10,10 kus,2026-05-17T22:27:56.292442
K-ClassicRamienka na odev,Ostatné,"0,20",10,10 kus,2026-05-17T22:27:56.343833
"Oblečenie, auto, voľný čas, hry",Ostatné,"15,99",14.05,1 kus,2026-05-17T22:27:56.532830
"Oblečenie, auto, voľný čas, hry",Ostatné,20.05,14.05,,2026-05-17T22:27:56.535930
Zázrivský korbáčik,Pečivo,"11,96",250,250 g,2026-05-17T22:27:57.833573
Karička Maxi,Ostatné,"7,93",140,140 g,2026-05-17T22:27:57.946363
Danone Actimel,Ostatné,"3,74",8,100 g,2026-05-17T22:27:58.133387
GalbaniMascarpone,Ostatné,"7,98",500,500 g,2026-05-17T22:27:58.203361
RajoKyslá smotana,Mliečne výrobky,"3,96",250,250 g,2026-05-17T22:27:58.262492
MilkoTvarohový krém Maťko,Mliečne výrobky,"4,54",130,130 g,2026-05-17T22:27:58.369719
K-ClassicGrécky jogurt,Mliečne výrobky,1,,1 kg,2026-05-17T22:27:58.418948
K-ClassicMozzarella,Mliečne výrobky,"8,25",200,200 g,2026-05-17T22:27:58.532758
K-FavouritesGrana Padano DOP syr,Mliečne výrobky,"16,60",150,150 g,2026-05-17T22:27:58.637490
Maggi Stir-FryRezance,Ostatné,"6,97",118,185 g,2026-05-17T22:27:59.214266
Rio MareTuniak,Trvanlivé / Snacks,"28,75",160,160 g,2026-05-17T22:27:59.270658
IdeálCestoviny,Trvanlivé / Snacks,1,,1 kg,2026-05-17T22:27:59.549111
AmundsenVodka,Ostatné,"11,41","0,7","0,7 l",2026-05-17T22:27:59.579230
Villa Vino RačaVíno,Nápoje,"6,65","0,75","0,75 l",2026-05-17T22:27:59.629574
Božkov RepublicaRumový likér,Ostatné,"18,56","0,7","0,7 l",2026-05-17T22:27:59.677619
CorgoňSvetlé pivo,Nápoje,"1,10",10,"0,5 l",2026-05-17T22:27:59.721519
Pilsner UrquellSvetlý ležiak,Nápoje,"2,18","4,4","0,5 l",2026-05-17T22:27:59.771900
Svetlý ležiak,Ostatné,"4,4",,,2026-05-17T22:27:59.794856
Pepsi alebo MirindaLimonáda,Ostatné,"0,75",4,2 l,2026-05-17T22:27:59.836262
HubertŠumivé víno,Nápoje,"5,32","0,75","0,75 l",2026-05-17T22:27:59.869934
Eduscho Mocca GrandeMletá káva,Ostatné,"13,98",2,250 g,2026-05-17T22:28:00.050277
Happy DayŠťava,Nápoje,1,100,1 l,2026-05-17T22:28:00.208413
HellEnergetický nápoj,Ostatné,"1,98","0,5","0,5 l",2026-05-17T22:28:00.266701
Viedenské párky XXL,Ostatné,1,,1 kg,2026-05-17T22:28:00.369384
Ponuka OD DO,Ostatné,"2,49",17.05,280 g,2026-05-17T22:28:00.622221
Ponuka OD DO,Ostatné,20.05,17.05,,2026-05-17T22:28:00.626940
Slanina na opekanie,Ostatné,"6,90",700,700 g,2026-05-17T22:28:00.703388
Zeler stopkatý,Ostatné,1,,1 kus,2026-05-17T22:28:00.880807
Mango zrelé,Ovocie a Zelenina,1,,1 kus,2026-05-17T22:28:00.930380
Hrušky zelené,Ovocie a Zelenina,1,,1 kg,2026-05-17T22:28:00.977256
Jablko Evelina,Ovocie a Zelenina,1,,1 kg,2026-05-17T22:28:01.021909
K-BioCitróny,Ostatné,"2,78",500,500 g,2026-05-17T22:28:01.068059
Čerstvé zo SlovenskaParadajky koktailové,Ovocie a Zelenina,"3,65",600,600 g,2026-05-17T22:28:01.118801
Vlašský šaláts lahôdkovou salámou,Ovocie a Zelenina,"3,50",100,100 g,2026-05-17T22:28:01.235261
Tyčinkaso zelenými olivami,Ostatné,"6,88",80,80 g,2026-05-17T22:28:01.281196
Rožtekorechový alebo makový,Ostatné,"6,70",88,88 g,2026-05-17T22:28:01.333365
MADETAKamadet,Ostatné,"10,50",100,100 g,2026-05-17T22:28:01.383609
TamiTatranské maslo,Mliečne výrobky,"5,56",82,250 g,2026-05-17T22:28:01.442062
K-ClassicMozzarella Mini,Mliečne výrobky,"6,32",250,250 g,2026-05-17T22:28:01.491944
K-ClassicSmotanový jogurt,Mliečne výrobky,"1,93",150,150 g,2026-05-17T22:28:01.535227
K-ClassicAcidofilné mlieko,Mliečne výrobky,"1,11",950,950 g,2026-05-17T22:28:01.586215
FrozittaPolievka držková,Ostatné,"3,76",450,450 g,2026-05-17T22:28:01.649738
K-FavouritesUhorky,Ostatné,"5,21",330,330 g,2026-05-17T22:28:01.696511
K-ClassicMakrela filety,Ostatné,"12,65",170,170 g,2026-05-17T22:28:01.800863
ChioPopcorn,Ostatné,"9,38",80,80 g,2026-05-17T22:28:01.917924
K-ClassicKrekery,Ostatné,"4,45",200,200 g,2026-05-17T22:28:02.078415
K-ClassicŽelé banány v čokoláde,Ovocie a Zelenina,"6,95",200,200 g,2026-05-17T22:28:02.133612
MaggiInstantná polievka,Ostatné,"8,31","59,2","59,2 g",2026-05-17T22:28:02.193210
K-ClassicOmáčka,Ostatné,"3,98",400,400 ml,2026-05-17T22:28:02.269044
Nestlé AnticolCukríky,Ostatné,"17,00",50,50 g,2026-05-17T22:28:02.328601
MariannaPohánka,Ostatné,"3,58",500,500 g,2026-05-17T22:28:02.388101
BlockOblátky plnené krémom,Ostatné,"4,73",400,400 g,2026-05-17T22:28:02.437445
Bergen CookiesSušienky,Ostatné,"6,18",225,225 g,2026-05-17T22:28:02.483621
K-ClassicKešu orechy,Ostatné,"12,45",200,200 g,2026-05-17T22:28:02.541944
K-ClassicMimelli Mliečny dezert,Ostatné,"3,19",4,90 g,2026-05-17T22:28:02.586382
Mlyn PernerPšeničná múka,Ostatné,1,,1 kg,2026-05-17T22:28:02.633366
Rajo Probia NatureJogurt biely,Mliečne výrobky,"2,15",135,135 g,2026-05-17T22:28:02.679962
ÖlzMliečne žemle,Ostatné,"6,54",350,350 g,2026-05-17T22:28:02.730090
K-ClassicMajonéza,Ostatné,"4,36",250,250 ml,2026-05-17T22:28:02.775528
K-ClassicEidam blok,Mliečne výrobky,"5,16",250,250 g,2026-05-17T22:28:02.848323
MarlexTočená saláma,Mäso,"3,70",700,700 g,2026-05-17T22:28:03.043742
GašparíkHusacia paštéta,Ostatné,"13,50",140,140 g,2026-05-17T22:28:03.086788
Viedenské párky,Ostatné,"7,15",460,460 g,2026-05-17T22:28:03.133940
MecomChopok saláma,Mäso,"10,38",500,500 g,2026-05-17T22:28:03.179757
MoorozPielmieni,Ostatné,"5,09",450,450 g,2026-05-17T22:28:03.230153
Čerešnička na víkend,Ostatné,"2,99",16.05,500 g,2026-05-17T22:28:03.870554
Čerešnička na víkend,Ostatné,17.05,16.05,,2026-05-17T22:28:03.876255
BIO Špargľa zelená,Ostatné,"2,99",500,500 g,2026-05-17T22:28:03.888673
BIO Špargľa zelená,Ostatné,"6,38",500,500 g,2026-05-17T22:28:03.892912
