name,category,current_price,original_price,unit,timestamp
ParksideUpínacie svorky,Ostatné,"1,50",4,4 kus,2026-05-17T22:27:30.931315
RajoTvaroh jemný hrudkovitý,Mliečne výrobky,"3,96",250,250 g,2026-05-17T22:27:31.243417
LučinaMäkký nezrejúci syr,Mliečne výrobky,"12,42",120,120 g,2026-05-17T22:27:31.503318
Dr.OetkerPizza Feliciana,Ostatné,"6,12",320,360 g,2026-05-17T22:27:31.567278
ÖlzSuper mäkký sendvič,Ostatné,"2,79",750,750 g,2026-05-17T22:27:31.630378
Vizard Medovník,Ostatné,"8,88",900,900 g,2026-05-17T22:27:31.684462
MányaJazmínová ryža,Trvanlivé / Snacks,1,,1 kg,2026-05-17T22:27:31.747028
HaméNátierka,Ostatné,"6,19",160,160 g,2026-05-17T22:27:31.803010
BORGESOlivový olej,Trvanlivé / Snacks,"9,78",500,500 ml,2026-05-17T22:27:31.863098
JojoCukríky,Ostatné,"9,88",70,80 g,2026-05-17T22:27:31.925864
NescaféInstantná káva,Ostatné,"29,95",200,200 g,2026-05-17T22:27:31.988098
Opavia BrumíkJemné pečivo,Pečivo,"9,93",150,150 g,2026-05-17T22:27:32.102337
GreisingerMini slaninové párky,Ostatné,"9,56",250,250 g,2026-05-17T22:27:32.200923
BergerŠunka morčacia(=,Mäso,"17,90",1,1 kg,2026-05-17T22:27:32.264386
"Bravčová krkovičkabez kosti, v celku",Mäso,20,1,1 kg,2026-05-17T22:27:32.321663
K-ClassicArašidy v cestíčku,Ostatné,"4,45",200,200 g,2026-05-17T22:27:32.380659
KvaskoPšeničný chlieb,Pečivo,"3,35",505,505 g,2026-05-17T22:27:32.446094
Púchovský uherák,Ostatné,"12,50",100,100 g,2026-05-17T22:27:32.513291
K-ClassicTrstinový cukor,Ostatné,"1,78",500,500 g,2026-05-17T22:27:32.592077
AustriaMozartove gule,Ostatné,"16,25",264,264 g,2026-05-17T22:27:32.654872
SchweppesLimonáda,Ostatné,"0,93","1,5","1,5 l",2026-05-17T22:27:32.712746
MariannaŠošovica,Ostatné,"2,60",250,250 g,2026-05-17T22:27:32.769346
PerníkářPerník,Ostatné,"4,17",60,60 g,2026-05-17T22:27:32.827407
Stará MamaPirohy zemiakovo-bryndzové,Ostatné,"2,70",2,2 kg,2026-05-17T22:27:32.886287
MilkTrvanlivé mlieko,Mliečne výrobky,"3,5",1,1 l,2026-05-17T22:27:32.967394
"Čerstvé ovocie a zelenina, Kvety",Ostatné,"1,29",14.05,1 kus,2026-05-17T22:27:33.015815
"Čerstvé ovocie a zelenina, Kvety",Ostatné,20.05,14.05,,2026-05-17T22:27:33.019564
Dipladénia,Ostatné,"1,29",14,1 kus,2026-05-17T22:27:33.033583
Dipladénia,Ostatné,1,14,1 kus,2026-05-17T22:27:33.036903
(Dipladenia) priemer kvetináča:,Ostatné,14,,,2026-05-17T22:27:33.060954
Frézie v kvetináči,Ostatné,1,13,1 kus,2026-05-17T22:27:33.087027
(Freesia) priemer kvetináča:,Ostatné,13,,,2026-05-17T22:27:33.110620
Konifery mix,Ostatné,1,,1 kus,2026-05-17T22:27:33.133763
Klinček záhradný,Ostatné,1,9,1 kus,2026-05-17T22:27:33.178500
(Dianthus caryophyllus) priemer kvetináča:,Ostatné,9,,,2026-05-17T22:27:33.200091
Javor dlaňovitolistý,Ostatné,1,"10,5",1 kus,2026-05-17T22:27:33.241141
(Acer palmatum) priemer kvetináča:,Ostatné,"10,5",,,2026-05-17T22:27:33.283035
Bugénvilea,Ostatné,1,14,1 kus,2026-05-17T22:27:33.317125
(Bougainvillea Purple) priemer kvetináča:,Ostatné,14,,,2026-05-17T22:27:33.345345
Levanduľa úzkolistá,Ostatné,"1,00",6,6 kus,2026-05-17T22:27:33.371052
(Lavandula angustifolia),Ostatné,6,,6 kus,2026-05-17T22:27:33.398016
Jablko červené,Ovocie a Zelenina,1,,1 kg,2026-05-17T22:27:33.480908
Paprika farebná,Ovocie a Zelenina,"3,18",500,500 g,2026-05-17T22:27:33.581638
Marhule slovenské,Ostatné,"3,98",500,500 g,2026-05-17T22:27:33.633962
Čerstvé zo SlovenskaParadajky cherry strapcové,Ovocie a Zelenina,"5,56",250,250 g,2026-05-17T22:27:33.680741
Šalát ľadový,Ovocie a Zelenina,1,,1 kus,2026-05-17T22:27:33.907405
Kapusta biela,Ostatné,1,,1 kg,2026-05-17T22:27:34.083276
Dyňa červená mini,Ostatné,1,,1 kus,2026-05-17T22:27:34.198606
Čučoriedky,Ovocie a Zelenina,"9,52",125,125 g,2026-05-17T22:27:34.443588
"Mäso, hydina, údeniny",Mäso,"5,89",14.05,100 g,2026-05-17T22:27:34.853222
"Mäso, hydina, údeniny",Mäso,20.05,14.05,,2026-05-17T22:27:34.856425
Chilli šunka,Mäso,"5,89",100,100 g,2026-05-17T22:27:34.867408
Chilli šunka,Mäso,"8,90",100,100 g,2026-05-17T22:27:34.870787
Anglická slanina,Ostatné,"6,90",100,100 g,2026-05-17T22:27:34.937522
Bravčová slanina,Mäso,1,,1 kg,2026-05-17T22:27:34.983339
Bravčová hruď,Mäso,1,,1 kg,2026-05-17T22:27:35.031887
K-Favourites,Ostatné,1,,1 kg,2026-05-17T22:27:35.200043
Bravčové rebierka z bôčika,Mäso,1,,1 kg,2026-05-17T22:27:35.327075
Údený mäsitý špic,Ostatné,"4,90",100,100 g,2026-05-17T22:27:35.375553
Bravčová krkovičkamarináde,Mäso,1,1,1 kg,2026-05-17T22:27:35.428963
Bravčové rebierkav BBQ marináde,Mäso,"9,32",750,750 g,2026-05-17T22:27:35.476478
Gril mix klobáskapapriková  a biely bavor,Mäso,"6,98",500,500 g,2026-05-17T22:27:35.522277
Dedova šunková lahôdka,Ostatné,"7,50",100,100 g,2026-05-17T22:27:35.569514
HSHKráľovské kuracie stehnácena za,Mäso,1,,1 kg,2026-05-17T22:27:35.616222
HSHKuracie stehná hornécena za,Mäso,1,,1 kg,2026-05-17T22:27:35.665579
HSHKráľovská polievková zmescena za,Ostatné,1,,1 kg,2026-05-17T22:27:35.713740
LACNÉ!Kurča bez drobovcena za,Ostatné,1,,1 kg,2026-05-17T22:27:35.764377
Kurča bez drobovcena za,Ostatné,1,,1 kg,2026-05-17T22:27:35.783323
"Bravčové stehnobez kosti, v celku",Mäso,20,1,1 kg,2026-05-17T22:27:35.863744
K-PurlandKuracie rezne prsnécena za,Mäso,1,,1 kg,2026-05-17T22:27:35.987959
K-PurlandKuracie dolné stehnácena za,Mäso,1,,1 kg,2026-05-17T22:27:36.034678
K-PurlandKuracia polievková zmescena za,Mäso,1,,1 kg,2026-05-17T22:27:36.080847
K-PurlandKuracie horné alebo dolné,Mäso,1,,1 kg,2026-05-17T22:27:36.154505
MecomLovecká saláma,Mäso,"8,63",520,520 g,2026-05-17T22:27:36.219374
Hungaria saláma,Mäso,"12,98",400,400 g,2026-05-17T22:27:36.269170
Cabaj čáporská klobása,Mäso,"6,22",690,690 g,2026-05-17T22:27:36.319447
Mangalica klobása,Mäso,"11,90",100,100 g,2026-05-17T22:27:36.435686
Chorizo saláma,Mäso,"10,50",100,100 g,2026-05-17T22:27:36.535927
Česká šunka,Mäso,"8,20",100,100 g,2026-05-17T22:27:36.586522
Cisárske párky,Ostatné,"7,90",100,100 g,2026-05-17T22:27:36.684339
MecomKlobásky mix,Mäso,"8,92",380,380 g,2026-05-17T22:27:36.736753
Kuracie horné stehnácena za,Mäso,1,,1 kg,2026-05-17T22:27:36.784328
ChoduraGril párky,Ostatné,"11,07",270,270 g,2026-05-17T22:27:36.835652
Bavorské klobásky,Mäso,"9,00",210,210g,2026-05-17T22:27:36.886494
Klobása na grilrôzne druhy,Mäso,"8,90",100,100 g,2026-05-17T22:27:36.959892
Čerstvé ryby,Ostatné,"1,04",14.05,100 g,2026-05-17T22:27:37.016240
Čerstvé ryby,Ostatné,20.05,14.05,,2026-05-17T22:27:37.020373
K-Blue Bay,Ostatné,"1,04",100,100 g,2026-05-17T22:27:37.034369
K-Blue Bay,Ostatné,"18,90",100,100 g,2026-05-17T22:27:37.037932
Pstruh celý pitvaný,Ostatné,"7,90",100,100 g,2026-05-17T22:27:37.085178
Čerstvé výrobky,Ostatné,"4,69",14.05,200 g,2026-05-17T22:27:37.132511
Čerstvé výrobky,Ostatné,20.05,14.05,,2026-05-17T22:27:37.135477
Milsy Bánovecká,Mliečne výrobky,"5,95",200,200 g,2026-05-17T22:27:37.376846
Hollandia Gazdovský,Ostatné,"1,58",500,500 g,2026-05-17T22:27:37.435791
Müller Müllermilch,Ostatné,"2,23",400,400 g,2026-05-17T22:27:37.570242
K-Classic Emmental,Ostatné,"9,23",400,400 g,2026-05-17T22:27:37.660911
Váječné bielka,Ostatné,"2,98",500,500 g,2026-05-17T22:27:37.737760
Tami PlesnivecMäkký zrejúci syr s plesňou,Mliečne výrobky,"14,88",80,80 g,2026-05-17T22:27:37.848774
StarbucksKávový nápoj,Ostatné,"9,05",220,220 ml,2026-05-17T22:27:37.910789
K-ClassicSmotana na varenie,Mliečne výrobky,"2,18",500,500 ml,2026-05-17T22:27:37.965143
HeraRastlinná tuková nátierka,Ostatné,"4,58",2,250 g,2026-05-17T22:27:38.089875
NikaTermix do vrecka,Ostatné,"9,88",80,80 g,2026-05-17T22:27:38.151397
Pribináček KapsíkTvarohovo-smotanový dezert(=,Mliečne výrobky,"14,14",1,1 kg,2026-05-17T22:27:38.205425
Very RiceRyžový dezert,Ostatné,"7,08",120,120 g,2026-05-17T22:27:38.261835
BabičkaMiláčik,Ostatné,"11,13",80,80 g,2026-05-17T22:27:38.334765
Tvarohový dezertrôzne druhy,Mliečne výrobky,"6,58",120,120 g,2026-05-17T22:27:38.367110
Eidam na vyprážaniePolotvrdý zrejúci syr,Mliečne výrobky,"9,90",100,100 g,2026-05-17T22:27:38.423761
GoudaPolotvrdý zrejúci syr,Mliečne výrobky,"7,50",100,100 g,2026-05-17T22:27:38.469822
LeerdammerPolotvrdý zrejúci syr,Mliečne výrobky,"11,90",100,100 g,2026-05-17T22:27:38.519395
Koliba Mozzarella,Mliečne výrobky,"9,90",100,100 g,2026-05-17T22:27:38.563639
MADETACisársky syr,Mliečne výrobky,"8,90",100,100 g,2026-05-17T22:27:38.610795
EhrmannProteínový pudingový dezert,Ostatné,"8,45",200,200 g,2026-05-17T22:27:38.713955
Leerdammer,Ostatné,"20,63",80,80 g,2026-05-17T22:27:38.760998
Mrazené výrobky,Ostatné,"4,99",14.05,75 g,2026-05-17T22:27:39.052459
Mrazené výrobky,Ostatné,20.05,14.05,,2026-05-17T22:27:39.055997
Friends Asia,Ostatné,"4,99",75,75 g,2026-05-17T22:27:39.067369
Friends Asia,Ostatné,"26,53",75,75 g,2026-05-17T22:27:39.070466
Mylord Premium,Ostatné,"6,66",900,900 g,2026-05-17T22:27:39.327260
Vajíčkový šalát,Ovocie a Zelenina,"7,99",100,100 g,2026-05-17T22:27:39.468161
Vajíčkový šalát,Ovocie a Zelenina,"6,90",100,100 g,2026-05-17T22:27:39.471394
Sojaprodukt,Ostatné,"3,25",200,200 g,2026-05-17T22:27:39.519440
Pierre Baguette,Ostatné,"9,95",210,240 g,2026-05-17T22:27:39.682072
Indiana JerkySušené mäso,Ostatné,25,,25 g,2026-05-17T22:27:40.010607
Violife MediterraneanRastlinný výrobok,Ostatné,"14,95",200,200 g,2026-05-17T22:27:40.193129
Trvanlivé potraviny,Ostatné,"4,29",14.05,260 g,2026-05-17T22:27:40.229361
Trvanlivé potraviny,Ostatné,20.05,14.05,,2026-05-17T22:27:40.233013
RibeiraFazuľa,Ostatné,"6,23",400,400 g,2026-05-17T22:27:40.748546
VitanaPoctivá polievka,Ostatné,"11,24",82,97 g,2026-05-17T22:27:40.838676
SPAKDressing,Ostatné,"7,16",250,250 ml,2026-05-17T22:27:40.887701
K-ClassicRyža,Trvanlivé / Snacks,1,,1 kg,2026-05-17T22:27:41.146708
GianaTuniak drvený,Trvanlivé / Snacks,"12,42",170,170 g,2026-05-17T22:27:41.194741
Hamburgerové žemle,Ostatné,"4,97",6,6 ks,2026-05-17T22:27:41.436739
so sezamom,Ostatné,6,,6 ks,2026-05-17T22:27:41.459503
Toustís svetlý,Ostatné,"5,03",336,336 g,2026-05-17T22:27:41.484292
Kráľovský cheesecake,Ostatné,"7,06",650,650 g,2026-05-17T22:27:41.564085
Maková taštička,Ostatné,"5,18",85,85 g,2026-05-17T22:27:41.685693
Kváskový chlieb Delikates,Pečivo,"3,56",405,405 g,2026-05-17T22:27:41.732954
Ražná kocka,Ostatné,"4,00",70,70 g,2026-05-17T22:27:41.780553
Makovka maslová,Mliečne výrobky,"4,14",70,70 g,2026-05-17T22:27:41.829863
Vianočka maslovás hrozienkami a mandľami,Pečivo,"4,48",400,400 g,2026-05-17T22:27:41.876426
Borek so syrom a špenátom,Mliečne výrobky,"5,22",90,90 g,2026-05-17T22:27:41.932923
Donut plnenýkakaovým krémom,Pečivo,"9,40",67,67 g,2026-05-17T22:27:41.979231
VamexVáš závin,Ostatné,"6,48",400,400 g,2026-05-17T22:27:42.037658
Cesnakový uzol,Ostatné,"5,90",100,100 g,2026-05-17T22:27:42.098033
Fitness žemľa,Ostatné,"2,13",75,75 g,2026-05-17T22:27:42.156747
Donuts jahodovou náplňou,Ovocie a Zelenina,"8,99",69,69 g,2026-05-17T22:27:42.218698
Syrový slimák,Mliečne výrobky,"7,29",85,85 g,2026-05-17T22:27:42.276694
VAMEXGápelský koláč,Pečivo,"7,50",100,100 g,2026-05-17T22:27:42.333966
NelapekPrémiová Vianočka,Pečivo,"4,54",350,350 g,2026-05-17T22:27:42.394209
Drevorubačský chlieb,Pečivo,"1,85",405,405 g,2026-05-17T22:27:42.453330
Pinsa Pollo s kuracím mäsom,Mäso,"8,50",140,140 g,2026-05-17T22:27:42.805466
"Káva, čaj, sladké, slané",Ostatné,"1,79",14.05,90 g,2026-05-17T22:27:42.863799
"Káva, čaj, sladké, slané",Ostatné,20.05,14.05,,2026-05-17T22:27:42.868106
Orion Študentká pečať,Ostatné,"16,56",90,90 g,2026-05-17T22:27:43.096905
Sedita Horalky,Ostatné,"8,76",5,50 g,2026-05-17T22:27:43.160995
Namex Pepe,Ostatné,"4,30",300,300 g,2026-05-17T22:27:43.322756
DoritosTortila chipsy,Mliečne výrobky,"14,90",100,100 g,2026-05-17T22:27:43.353018
Čokoládová tyčinka,Trvanlivé / Snacks,"13,53","36,5",57 g,2026-05-17T22:27:43.410811
TchiboZrnková káva,Ostatné,"19,98",500,500 g,2026-05-17T22:27:43.570215
MerciDezert,Ostatné,"21,98",400,400 g,2026-05-17T22:27:43.731995
Kinder CrispyČokoládové tyčinky,Trvanlivé / Snacks,"20,53",170,170 g,2026-05-17T22:27:43.794057
Slovakia VrúbkyZemiakové lupienky,Trvanlivé / Snacks,"13,25",120,120 g,2026-05-17T22:27:43.825992
MAX SPORTProteínová tyčinka,Ostatné,"15,00",50,50 g,2026-05-17T22:27:43.869187
FARMA TEKVIČKATekvicové jadierka,Ostatné,"13,16",250,250 g,2026-05-17T22:27:43.944569
NESVADSKÉ OBLÁTKY,Ostatné,"12,38",80,80 g,2026-05-17T22:27:43.999019
BIOTATRYBIO čaj jarná očista,Ostatné,30,30,30 g,2026-05-17T22:27:44.099879
BIO čaj jarná očista,Ostatné,30,,30 g,2026-05-17T22:27:44.107942
FigaroČokopiškótyKúp,Ostatné,"6,77",2,147 g,2026-05-17T22:27:44.416379
JacobsInstantná káva,Ostatné,"0,25",20,20 ks,2026-05-17T22:27:44.479829
Ľubovnianka,Ostatné,"1,64",2,2 l,2026-05-17T22:27:44.527138
Ľubovnianka,Ostatné,"0,20",2,2 l,2026-05-17T22:27:44.530541
Zlatý Bažant,Ostatné,"1,70","0,5","0,5 l",2026-05-17T22:27:44.576301
Karpatské KB,Ostatné,"10,70","0,7","0,7 l",2026-05-17T22:27:44.700329
Budweiser Budvar,Ostatné,"1,25",12,"0,5 l",2026-05-17T22:27:44.765818
Svetlé pivo,Nápoje,12,,,2026-05-17T22:27:44.774784
Captain Jack,Ostatné,"2,58","0,33","0,33 l",2026-05-17T22:27:44.852676
ORAVSKÁ červená edícia,Ostatné,"0,66","1,5","1,5 l",2026-05-17T22:27:44.903263
BraníkSvetlý ležiak,Ostatné,"0,79","1,5","1,5 l",2026-05-17T22:27:45.026063
AperolAperitív,Ostatné,"15,70","0,7","0,7 l",2026-05-17T22:27:45.060061
KlasikBorovička,Ostatné,"10,38","0,5","0,5 l",2026-05-17T22:27:45.199360
ZubrowkaVodka,Ostatné,"11,41","0,7","0,7 l",2026-05-17T22:27:45.251502
BošáckaSlivovica,Ostatné,"21,41","0,7","0,7 l",2026-05-17T22:27:45.297190
BruncvíkSvetlé pivo,Nápoje,"0,98","0,5","0,5 l",2026-05-17T22:27:45.582379
ZAMIOŠtava,Ostatné,"7,84",100,"0,7 l",2026-05-17T22:27:45.753360
StarobrnoSvetlé pivo,Nápoje,"1,18","0,5","0,5 l",2026-05-17T22:27:46.361536
KrušoviceSvetlé pivo,Nápoje,"1,58","0,5","0,5 l",2026-05-17T22:27:46.421120
StaropramenSvetlé pivo,Nápoje,"0,78",10,"0,5 l",2026-05-17T22:27:46.498443
BecherovkaBylinný likér,Nápoje,"13,98","0,5","0,5 l",2026-05-17T22:27:46.910981
Fernet BavorákMiešaný alk. nápoj,Ostatné,"7,96","0,25","0,25 l",2026-05-17T22:27:46.965424
"Drogéria, Potrava pre zvieratá",Ostatné,"16,99",14.05,81 kus,2026-05-17T22:27:47.070664
"Drogéria, Potrava pre zvieratá",Ostatné,20.05,14.05,,2026-05-17T22:27:47.075975
BEBA Comfort,Ostatné,"17,49",800,800 g,2026-05-17T22:27:47.533223
VeetDepilačné prúžky,Ostatné,"0,33",12,20 kus,2026-05-17T22:27:47.580004
PanteneŠampón alebo Kondicionér,Ostatné,"8,98",220,400 ml,2026-05-17T22:27:47.625303
NiveaTelové mlieko,Mliečne výrobky,"14,48",400,400 ml,2026-05-17T22:27:47.667871
Pampers PremiumPlienky,Ostatné,"0,20",58,88 kus,2026-05-17T22:27:47.862967
JarProstriedok na riad,Ostatné,"2,44","1,35","1,35 l",2026-05-17T22:27:47.909500
BrefWC blok,Ostatné,"19,95",4,50 g,2026-05-17T22:27:47.969441
GOURMETGold Multip,Ostatné,"6,16",8,85 g,2026-05-17T22:27:47.999744
SanytolDezinfekčný prostriedok,Ostatné,"4,98",500,500 ml,2026-05-17T22:27:48.048825
ArielPrací prášok,Ostatné,"0,22",40,,2026-05-17T22:27:48.109841
ShebaKapsičky pre mačky,Ostatné,"5,29",40,85 g,2026-05-17T22:27:48.154436
K-ClassicToaletný papier,Ostatné,"0,21",8,8 kus,2026-05-17T22:27:48.186031
Biotech USAProteín,Ostatné,1,,1 kg,2026-05-17T22:27:48.299208
